cds.comp100097_c2_seq1	sp|Q9UI26|IPO11_HUMAN	41.05	229	130	3	1	226	699	925	3e-42	  157
cds.comp100104_c1_seq1	sp|Q9NZJ4|SACS_HUMAN	47.83	138	58	4	1	132	2586	2715	2e-29	  118
cds.comp100105_c0_seq1	sp|P18756|ETS1B_XENLA	85.71	126	18	0	154	279	143	268	2e-73	  233
cds.comp100108_c1_seq1	sp|Q9U943|APLP_LOCMI	32.45	413	227	9	2	368	514	920	3e-59	  214
cds.comp100129_c0_seq1	sp|Q14644|RASA3_HUMAN	50.00	108	48	2	2	105	68	173	9e-30	  117
cds.comp100184_c0_seq1	sp|Q9C509|SGPL_ARATH	35.66	143	90	1	1	143	404	544	2e-24	  102
cds.comp100187_c0_seq1	sp|Q16RI1|OPI10_AEDAE	66.67	87	28	1	7	92	5	91	2e-35	  125
cds.comp100218_c0_seq1	sp|Q9Y5Q9|TF3C3_HUMAN	56.76	74	32	0	171	244	130	203	2e-17	85.9
cds.comp100298_c0_seq1	sp|A0R5M8|EGTD_MYCS2	27.06	218	146	6	6	221	81	287	3e-19	87.8
cds.comp100366_c1_seq1	sp|Q852M1|ALDO2_ORYSJ	45.30	181	95	3	2	181	1136	1313	1e-43	  161
cds.comp100439_c1_seq1	sp|A7Y2X0|SC6A5_XENLA	41.18	187	109	1	1	186	556	742	6e-41	  151
cds.comp100440_c0_seq1	sp|Q9JJW0|PXMP4_MOUSE	58.55	193	80	0	1	193	15	207	4e-78	  239
cds.comp100442_c1_seq1	sp|Q02318|CP27A_HUMAN	42.48	153	84	1	6	154	377	529	1e-38	  142
cds.comp100466_c0_seq1	sp|Q9CRG1|TM7S3_MOUSE	35.16	91	53	2	1	89	450	536	6e-09	57.8
cds.comp100480_c1_seq1	sp|P08922|ROS1_HUMAN	54.35	92	37	2	1	88	1952	2042	2e-20	90.5
cds.comp100502_c1_seq1	sp|Q04791|SASB_ANAPL	38.46	117	53	6	1	112	445	547	4e-14	72.4
cds.comp100517_c0_seq1	sp|Q8IZJ1|UNC5B_HUMAN	42.05	195	95	3	1	195	766	942	2e-41	  154
cds.comp100523_c0_seq1	sp|Q02338|BDH_HUMAN	42.86	105	51	3	2	104	218	315	2e-15	75.9
